Samples,Test Accuracy,Test Recall,Test Precision,Test F1-Score
10,0.3203933835029602,0.32039337474120083,0.32039337474120083,0.32039337474120083
20,0.5087991952896118,0.5087991718426501,0.5087991718426501,0.5087991718426501
30,0.32763975858688354,0.327639751552795,0.327639751552795,0.327639751552795
40,0.707556962966919,0.7075569358178054,0.7075569358178054,0.7075569358178054
50,0.6733954548835754,0.6733954451345756,0.6733954451345756,0.6733954451345756
60,0.850931704044342,0.8509316770186336,0.8509316770186336,0.8509316770186336
70,0.782608687877655,0.782608695652174,0.782608695652174,0.782608695652174
80,0.6930641531944275,0.693064182194617,0.693064182194617,0.693064182194617
90,0.6589027047157288,0.6589026915113871,0.6589026915113871,0.6589026915113871
100,0.693581759929657,0.6935817805383023,0.6935817805383023,0.6935817805383023
110,0.8695651888847351,0.8695652173913043,0.8695652173913043,0.8695652173913043
120,0.9032090902328491,0.9032091097308489,0.9032091097308489,0.9032091097308489
130,0.8545548915863037,0.8545548654244306,0.8545548654244306,0.8545548654244306
140,0.41252589225769043,0.41252587991718426,0.41252587991718426,0.41252587991718426
150,0.49327123165130615,0.4932712215320911,0.4932712215320911,0.4932712215320911
160,0.8633540272712708,0.8633540372670807,0.8633540372670807,0.8633540372670807
170,0.839026927947998,0.8390269151138716,0.8390269151138716,0.8390269151138716
180,0.9104554653167725,0.910455486542443,0.910455486542443,0.910455486542443
190,0.49223601818084717,0.4922360248447205,0.4922360248447205,0.4922360248447205
