Samples,Test Accuracy,Test Recall,Test Precision,Test F1-Score
10,0.42184266448020935,0.4218426501035197,0.4218426501035197,0.4218426501035197
20,0.501035213470459,0.5010351966873706,0.5010351966873706,0.5010351966873706
30,0.402691513299942,0.4026915113871636,0.4026915113871636,0.4026915113871635
40,0.35248446464538574,0.35248447204968947,0.35248447204968947,0.35248447204968947
50,0.4192546606063843,0.4192546583850932,0.4192546583850932,0.4192546583850932
60,0.8348861336708069,0.8348861283643892,0.8348861283643892,0.8348861283643892
70,0.7893374562263489,0.7893374741200828,0.7893374741200828,0.7893374741200828
80,0.6765010356903076,0.6765010351966874,0.6765010351966874,0.6765010351966874
90,0.8379917144775391,0.837991718426501,0.837991718426501,0.8379917184265011
100,0.8959627151489258,0.8959627329192547,0.8959627329192547,0.8959627329192547
110,0.6940993666648865,0.6940993788819876,0.6940993788819876,0.6940993788819876
120,0.9032090902328491,0.9032091097308489,0.9032091097308489,0.9032091097308489
130,0.8866459727287292,0.8866459627329193,0.8866459627329193,0.8866459627329193
140,0.8561076521873474,0.8561076604554866,0.8561076604554866,0.8561076604554866
150,0.9177018404006958,0.9177018633540373,0.9177018633540373,0.9177018633540373
160,0.8933747410774231,0.8933747412008282,0.8933747412008282,0.8933747412008282
170,0.9016563296318054,0.901656314699793,0.901656314699793,0.901656314699793
180,0.8731883764266968,0.8731884057971014,0.8731884057971014,0.8731884057971014
190,0.8146997690200806,0.8146997929606625,0.8146997929606625,0.8146997929606625
